SessionID,CalculatedOptimalDifficulty,SelectedOptimalDifficultyMedian,SelectedOptimalDifficultyRange,DifficultyPreferenceDelta,DifficultyPreferenceFactor,Treatment,Condition,ConditionDifficultyMean,ConditionDifficultyMedian,TrialDurationMean,NrTrialsFalse,NrTrialsCorrect,PctTrialsCorrect
session_49-SP,5,1,0,-4,UNDER_PREF,SP,MATH_FLOW,6.61538461538462,7,20973.8461538462,2,11,0.846153846153846
session_49-SP,5,1,0,-4,UNDER_PREF,SP,MATH_OVERLOAD,15.8,16,28000.7,10,0,0
session_50-MP,4,9,17,5,OVER_PREF,MP,MATH_AUTONOMY,9.45454545454546,9,24814.6363636364,2,9,0.818181818181818
session_50-MP,4,9,17,5,OVER_PREF,MP,MATH_BOREDOM,0,0,9904.21739130435,0,23,1
session_50-MP,4,9,17,5,OVER_PREF,MP,MATH_FLOW,5.15384615384615,5,20090.3846153846,1,12,0.923076923076923
session_50-MP,4,9,17,5,OVER_PREF,MP,MATH_OVERLOAD,14.8,15,28000.7,10,0,0
session_50-SP,6,9,0,3,OVER_PREF,SP,MATH_AUTONOMY,10.5333333333333,10,17166.0666666667,2,13,0.866666666666667
session_50-SP,6,9,0,3,OVER_PREF,SP,MATH_BOREDOM,0,0,20566.3846153846,8,5,0.384615384615385
session_50-SP,6,9,0,3,OVER_PREF,SP,MATH_FLOW,8.17647058823529,8,14425.5882352941,1,16,0.941176470588235
session_50-SP,6,9,0,3,OVER_PREF,SP,MATH_OVERLOAD,16.8,17,27683.2,10,0,0
session_51-MP,5,6,6,1,OVER_PREF,MP,MATH_AUTONOMY,7.15384615384615,7,20843.7692307692,1,12,0.923076923076923
session_51-MP,5,6,6,1,OVER_PREF,MP,MATH_BOREDOM,0,0,10585.6363636364,0,22,1
session_51-MP,5,6,6,1,OVER_PREF,MP,MATH_FLOW,6.30769230769231,6,20061.5384615385,1,12,0.923076923076923
session_51-MP,5,6,6,1,OVER_PREF,MP,MATH_OVERLOAD,15.8,16,28018.4,10,0,0
session_51-SP,5,6,0,1,OVER_PREF,SP,MATH_AUTONOMY,6.8,7,17286.6666666667,4,11,0.733333333333333
session_51-SP,5,6,0,1,OVER_PREF,SP,MATH_BOREDOM,0,0,9771.91304347826,0,23,1
session_51-SP,5,6,0,1,OVER_PREF,SP,MATH_FLOW,6,6,14633.9411764706,5,12,0.705882352941177
session_51-SP,5,6,0,1,OVER_PREF,SP,MATH_OVERLOAD,15.6363636363636,16,25542.9090909091,11,0,0
session_53-MP,5,8,8,3,OVER_PREF,MP,MATH_AUTONOMY,9.69230769230769,10,21748.6153846154,1,12,0.923076923076923
session_53-MP,5,8,8,3,OVER_PREF,MP,MATH_BOREDOM,0,0,10150.1818181818,0,22,1
session_53-MP,5,8,8,3,OVER_PREF,MP,MATH_FLOW,6,6,16660.9333333333,3,12,0.8
session_53-MP,5,8,8,3,OVER_PREF,MP,MATH_OVERLOAD,16.7,17,27339.8,7,3,0.3
session_54-MP,4,7,4,3,OVER_PREF,MP,MATH_AUTONOMY,8.61538461538462,9,20111.5384615385,1,12,0.923076923076923
session_54-MP,4,7,4,3,OVER_PREF,MP,MATH_BOREDOM,0,0,9197.625,0,24,1
session_54-MP,4,7,4,3,OVER_PREF,MP,MATH_FLOW,5.6,6,16689.8666666667,2,13,0.866666666666667
session_54-MP,4,7,4,3,OVER_PREF,MP,MATH_OVERLOAD,14.8,15,27376.9,9,1,0.1
session_54-SP,6,9,0,3,OVER_PREF,SP,MATH_AUTONOMY,10.6,11,17848.9333333333,3,12,0.8
session_54-SP,6,9,0,3,OVER_PREF,SP,MATH_BOREDOM,0,0,10702.0909090909,0,22,1
session_54-SP,6,9,0,3,OVER_PREF,SP,MATH_FLOW,7.94117647058824,8,14776.1176470588,2,15,0.882352941176471
session_54-SP,6,9,0,3,OVER_PREF,SP,MATH_OVERLOAD,16.8,17,28003.9,10,0,0
session_55-MP,5,7,20,2,OVER_PREF,MP,MATH_AUTONOMY,8.53333333333333,9,17575.2666666667,3,12,0.8
session_55-MP,5,7,20,2,OVER_PREF,MP,MATH_BOREDOM,0,0,10735.1363636364,0,22,1
session_55-MP,5,7,20,2,OVER_PREF,MP,MATH_FLOW,7,7,17803.4,0,15,1
session_55-MP,5,7,20,2,OVER_PREF,MP,MATH_OVERLOAD,16.3,16,27692.5,8,2,0.2
