"participant.code","team_id","condition","difficulty_round3","difficulty_round4","difficulty_round5","difficulty_round6","easy_success_rate","easy_trials","easy_timeups","easy_avg_time","easy_correct_trials","optimal_selected_success_rate","optimal_selected_trials","optimal_selected_timeups","optimal_selected_avg_time","optimal_selected_correct_trials","optimal_calibrated_success_rate","optimal_calibrated_trials","optimal_calibrated_timeups","optimal_calibrated_avg_time","optimal_calibrated_correct_trials","hard_success_rate","hard_trials","hard_timeups","hard_avg_time","hard_correct_trials","hp_easy_points","hp_optimal_points","hp_hard_points","hp_easy_discussion_time","hp_optimal_discussion_time","hp_hard_discussion_time","hp_easy_next_button","hp_optimal_next_button","hp_hard_next_button"
"nmzv86at","9239f1x4_NEJLKTOB6I","jitsi","Optimal_Calibrated","Optimal_Selected","Easy","Hard",1,13,3,17333.6923076923,13,1,9,8,27377.4444444444,9,1,9,8,26579,9,0.111111111111111,9,9,28031.5555555556,1,15,10,15,294.316,300.101,285.821,TRUE,TRUE,TRUE
"ns5ajdzd","7r4x2y27_8QLQNF5Q1A","jitsi","Optimal_Calibrated","Optimal_Selected","Easy","Hard",1,9,9,28026,9,0.222222222222222,9,9,28022.2222222222,2,1,9,9,28024.8888888889,9,0.222222222222222,9,9,28026.3333333333,2,10,15,15,126.472,300.031,270.465,TRUE,TRUE,TRUE
"nxry7itw","1dv6li5p_GRBHAEDGQ5","jitsi","Optimal_Calibrated","Optimal_Selected","Easy","Hard",0.9375,16,1,13509.125,15,0.75,12,2,19673.5,9,0.818181818181818,11,4,22314.1818181818,9,0.111111111111111,9,9,28023.4444444444,1,10,15,10,222.36,262.323,250.267,TRUE,TRUE,TRUE
"pnnxousf","5pp0w4ir_LS56QC86PR","chat","Optimal_Calibrated","Optimal_Selected","Easy","Hard",0.944444444444444,18,0,12186.1666666667,17,0.8,15,1,14605.5333333333,12,0.846153846153846,13,3,17760.5384615385,11,0.222222222222222,9,9,28031.7777777778,2,15,15,15,137.366,219.776,276.54,TRUE,TRUE,TRUE
"rao64gpx","tin0pwza_2OMGBSTZCC","chat","Easy","Optimal_Calibrated","Hard","Optimal_Selected",1,15,0,14473.2,15,0.769230769230769,13,1,16952,10,0.857142857142857,14,0,16474.0714285714,12,0,9,9,28034.5555555556,0,15,10,10,191.592,276.355,300.04,TRUE,TRUE,TRUE
"ru56zfjx","5pp0w4ir_4S6XAQIA0E","chat","Hard","Easy","Optimal_Selected","Optimal_Calibrated",0.8,10,8,25263.8,8,1,9,9,28029.1111111111,9,0.916666666666667,12,4,20286.4166666667,11,0,9,9,28035.7777777778,0,15,15,10,300.032,102.947,300.044,TRUE,TRUE,TRUE
"tgr8n2gx","4k4ynjkb_TU4EYUAAEE","chat","Optimal_Selected","Hard","Optimal_Calibrated","Easy",1,9,9,28026.5555555556,9,0.888888888888889,9,9,28029.6666666667,8,1,9,9,28024.8888888889,9,0,9,9,28029.5555555556,0,15,10,15,166.62,300.09,198.053,TRUE,TRUE,TRUE
"vy3vevfc","9r9p4woi_3MNBJRG4HP","chat","Optimal_Calibrated","Optimal_Selected","Easy","Hard",1,17,0,13029.8235294118,17,0.769230769230769,13,1,17870.2307692308,10,0.833333333333333,12,1,19511.9166666667,10,0.111111111111111,9,8,27932.3333333333,1,15,15,10,300.046,300.135,300.072,TRUE,TRUE,TRUE
"x4q7sojo","89vmiwh4_WUC5X7WEEJ","chat","Easy","Optimal_Calibrated","Hard","Optimal_Selected",0.888888888888889,9,8,26529.2222222222,8,0.444444444444444,9,9,28029.3333333333,4,1,9,9,28030,9,0.111111111111111,9,9,28032.2222222222,1,15,10,15,300.076,300.067,300.005,TRUE,TRUE,TRUE
"xhiuzfzo","codxiil4_S3RZS3WFLA","chat","Hard","Easy","Optimal_Selected","Optimal_Calibrated",0.9375,16,1,14028.5625,15,1,13,0,18356.1538461538,13,0.923076923076923,13,1,16958.3846153846,12,0,9,9,28029.8888888889,0,15,15,15,169.112,195.753,300.205,TRUE,TRUE,TRUE
"xpb24goq","ht2tpvxx_51QA2QE8AG","jitsi","Hard","Easy","Optimal_Selected","Optimal_Calibrated",1,16,1,13984.625,16,0.3,10,4,25232.4,3,0.928571428571429,14,0,16896.9285714286,13,0.111111111111111,9,7,27739.4444444444,1,15,15,15,100.243,295.023,300.071,TRUE,TRUE,TRUE
"y2iadsab","5cbg3uhn_Z27ISZ2B9X","chat","Optimal_Selected","Hard","Optimal_Calibrated","Easy",1,15,1,14451.0666666667,15,0.636363636363636,11,4,22166.6363636364,7,0.916666666666667,12,3,19629.3333333333,11,0,9,7,27027.3333333333,0,10,15,15,300.077,300.029,300.137,TRUE,TRUE,TRUE
